Player,Date,Opponent,Event,Result,TDL,TDA,TD Acc.,TD Def.,Sub. Avg.,Sub. Attempts,Sub. Success Rate,Control Time,Ground Control %,Reversals,Sweeps
Hyder Amil,2025-08-04,N/A,N/A,N/A,1.0,10.0,0%,0%,0.0,0,0%,0,0%,0,0
Ian Machado Garry ufc,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Iasmin Lucindo,2025-08-04,N/A,N/A,N/A,,20.0,0%,0%,0.0,0,0%,0,0%,0,0
Ibo Aslan,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Ignacio Bahamondes,2025-08-04,N/A,N/A,N/A,,8.0,0%,0%,0.0,0,0%,0,0%,0,0
Ikram Aliskerov,2025-08-04,N/A,N/A,N/A,,3.0,0%,0%,0.0,0,0%,0,0%,0,0
Ilian Bouafia ufc,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Ilia Topuria,2025-08-04,N/A,N/A,N/A,5.0,18.0,0%,0%,0.0,0,0%,0,0%,0,0
Ion Cutelaba,2025-08-04,N/A,N/A,N/A,6.0,79.0,0%,0%,0.0,0,0%,0,0%,0,0
Irene Aldana,2025-08-04,N/A,N/A,N/A,2.0,4.0,0%,0%,0.0,0,0%,0,0%,0,0
Irina Alekseeva,2025-08-04,N/A,N/A,N/A,,5.0,0%,0%,0.0,0,0%,0,0%,0,0
Isaac Dulgarian,2025-08-04,N/A,N/A,N/A,1.0,19.0,0%,0%,0.0,0,0%,0,0%,0,0
Islam Dulatov,2025-08-04,N/A,N/A,N/A,,1.0,0%,0%,0.0,0,0%,0,0%,0,0
Islam Makhachev,2025-08-04,N/A,N/A,N/A,13.0,69.0,0%,0%,0.0,0,0%,0,0%,0,0
Ismael Bonfim,2025-08-04,N/A,N/A,N/A,1.0,9.0,0%,0%,0.0,0,0%,0,0%,0,0
Ismail Naurdiev,2025-08-04,N/A,N/A,N/A,,22.0,0%,0%,0.0,0,0%,0,0%,0,0
Israel Adesanya,2025-08-04,N/A,N/A,N/A,,9.0,0%,0%,0.0,0,0%,0,0%,0,0
Ivan Erslan,2025-08-04,N/A,N/A,N/A,1.0,5.0,0%,0%,0.0,0,0%,0,0%,0,0
